 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :20 , Curvature -5 , goc_lech: 41.370370370370374 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.50462962962963 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.236111111111114 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :21 , Curvature -6 , goc_lech: 41.356944444444444 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.518055555555556 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :20 , Curvature -5 , goc_lech: 41.370370370370374 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :15 , Curvature -2 , goc_lech: 41.356944444444444 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 40.94074074074074 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :18 , Curvature -4 , goc_lech: 41.20925925925926 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.222685185185185 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
 [ distance :17 , Curvature -3 , goc_lech: 41.19583333333333 , toc_do: 98real_velocity: 0.00 m/s]
