 [ distance :-17 , Curvature -35 , goc_lech: 21.7625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 21.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.225 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.4875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -34 , goc_lech: 20.075 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.0 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -36 , goc_lech: 20.8875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 21.0875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.224999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.3375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -36 , goc_lech: 20.599999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.75 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.1125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.4375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.5125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -34 , goc_lech: 20.525000000000002 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.3625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.3375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.3375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.4375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.725 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.85 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.6125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -32 , goc_lech: 20.412499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.175 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.725 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-22 , Curvature -32 , goc_lech: 20.975 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.8625 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.5125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -32 , goc_lech: 20.3875 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-25 , Curvature -31 , goc_lech: 20.5125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -33 , goc_lech: 20.287499999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -33 , goc_lech: 20.224999999999998 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 20.2 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-23 , Curvature -34 , goc_lech: 20.4125 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-18 , Curvature -34 , goc_lech: 20.6 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-17 , Curvature -35 , goc_lech: 21.7375 , toc_do: 97real_velocity: 0.00 m/s]
 [ distance :-24 , Curvature -31 , goc_lech: 21.375 , toc_do: 97real_velocity: 0.00 m/s]
