809.6969696969697 17/07/2022 22:46:32:0.342591  -0.09 m/s
704.8648648648649 17/07/2022 22:46:32:0.515178  -0.08 m/s
754.2857142857143 17/07/2022 22:46:32:0.904848  -0.08 m/s
682.1052631578947 17/07/2022 22:46:33:0.073939  -0.08 m/s
620.4878048780488 17/07/2022 22:46:33:0.238856  -0.08 m/s
682.1052631578947 17/07/2022 22:46:33:0.414203  -0.08 m/s
640.0 17/07/2022 22:46:33:0.588066  -0.07 m/s
754.2857142857143 17/07/2022 22:46:33:0.766849  -0.07 m/s
660.5128205128206 17/07/2022 22:46:33:0.940205  -0.07 m/s
584.1860465116279 17/07/2022 22:46:34:0.12719  -0.07 m/s
535.6521739130435 17/07/2022 22:46:34:0.293588  -0.07 m/s
535.6521739130435 17/07/2022 22:46:34:0.49162  -0.06 m/s
480.0 17/07/2022 22:46:34:0.687038  -0.06 m/s
467.4509803921569 17/07/2022 22:46:34:0.871678  -0.06 m/s
443.7735849056604 17/07/2022 22:46:35:0.056105  -0.06 m/s
506.66666666666663 17/07/2022 22:46:35:0.229222  -0.06 m/s
535.6521739130435 17/07/2022 22:46:35:0.395157  -0.06 m/s
520.8510638297872 17/07/2022 22:46:35:0.569573  0.00 m/s
520.8510638297872 17/07/2022 22:46:35:0.784989  0.00 m/s
520.8510638297872 17/07/2022 22:46:35:0.980053  0.00 m/s
520.8510638297872 17/07/2022 22:46:36:0.160109  0.00 m/s
535.6521739130435 17/07/2022 22:46:36:0.345065  0.00 m/s
520.8510638297872 17/07/2022 22:46:36:0.529645  0.00 m/s
520.8510638297872 17/07/2022 22:46:36:0.73953  0.00 m/s
535.6521739130435 17/07/2022 22:46:36:0.901718  0.00 m/s
520.8510638297872 17/07/2022 22:46:37:0.062604  0.00 m/s
535.6521739130435 17/07/2022 22:46:37:0.226617  0.00 m/s
520.8510638297872 17/07/2022 22:46:37:0.380867  0.00 m/s
535.6521739130435 17/07/2022 22:46:37:0.561142  0.00 m/s
535.6521739130435 17/07/2022 22:46:37:0.737379  0.00 m/s
520.8510638297872 17/07/2022 22:46:37:0.934452  0.00 m/s
535.6521739130435 17/07/2022 22:46:38:0.117345  0.00 m/s
506.66666666666663 17/07/2022 22:46:38:0.298898  0.00 m/s
535.6521739130435 17/07/2022 22:46:38:0.494751  0.00 m/s
520.8510638297872 17/07/2022 22:46:38:0.681492  0.00 m/s
551.1111111111111 17/07/2022 22:46:38:0.873411  0.00 m/s
535.6521739130435 17/07/2022 22:46:39:0.061617  0.00 m/s
567.2727272727273 17/07/2022 22:46:39:0.225868  0.00 m/s
567.2727272727273 17/07/2022 22:46:39:0.403574  0.00 m/s
